ticker,nombre,precio,divisa,variacion_%,hora,fuente
AIR.PA,Airbus (Francia),195.96,EUR,-0.386,2025-12-24 17:31:51 CET,Yahoo Finance (yfinance; posible retraso)
AMZN,Amazon (US),232.56,USD,0.181,2025-12-24 17:31:51 CET,Yahoo Finance (yfinance; posible retraso)
ASML.AS,ASML (Países Bajos),899.0,EUR,-0.465,2025-12-24 17:31:51 CET,Yahoo Finance (yfinance; posible retraso)
BXP,BXP Inc (US),69.195,USD,0.574,2025-12-24 17:31:51 CET,Yahoo Finance (yfinance; posible retraso)
CELH,Celsius (US),44.555,USD,-0.123,2025-12-24 17:31:51 CET,Yahoo Finance (yfinance; posible retraso)
CSU.TO,Constellation Software (Canadá),3329.23,CAD,-0.063,2025-12-24 17:31:51 CET,Yahoo Finance (yfinance; posible retraso)
GOOG,Alphabet Class C (US),315.115,USD,-0.179,2025-12-24 17:31:51 CET,Yahoo Finance (yfinance; posible retraso)
GOOGL,Alphabet Class A (US),313.73,USD,-0.197,2025-12-24 17:31:51 CET,Yahoo Finance (yfinance; posible retraso)
GOOS,Canada Goose (US),12.68,USD,0.0,2025-12-24 17:31:51 CET,Yahoo Finance (yfinance; posible retraso)
MC.PA,LVMH (Francia),632.1,EUR,0.765,2025-12-24 17:31:51 CET,Yahoo Finance (yfinance; posible retraso)
META,Meta Platforms (US),666.34,USD,0.211,2025-12-24 17:31:51 CET,Yahoo Finance (yfinance; posible retraso)
MTCH,Match Group (US),32.71,USD,-0.153,2025-12-24 17:31:51 CET,Yahoo Finance (yfinance; posible retraso)
NKE,Nike (US),59.955,USD,4.561,2025-12-24 17:31:51 CET,Yahoo Finance (yfinance; posible retraso)
PLMR,Palomar (US),136.145,USD,-0.856,2025-12-24 17:31:51 CET,Yahoo Finance (yfinance; posible retraso)
PYPL,Paypal (US),59.67,USD,0.438,2025-12-24 17:31:51 CET,Yahoo Finance (yfinance; posible retraso)
SMCI,Super Micro Computer (US),30.545,USD,-0.722,2025-12-24 17:31:51 CET,Yahoo Finance (yfinance; posible retraso)
STNE,StoneCo (US ADR),14.7014,USD,-0.194,2025-12-24 17:31:51 CET,Yahoo Finance (yfinance; posible retraso)
UPWK,Upwork (US),20.99,USD,0.817,2025-12-24 17:31:51 CET,Yahoo Finance (yfinance; posible retraso)
VFC,VF Corp (US),18.36,USD,-0.38,2025-12-24 17:31:51 CET,Yahoo Finance (yfinance; posible retraso)
ZEG.L,Zegona Communications (UK),1325.0,GBp,0.379,2025-12-24 17:31:51 CET,Yahoo Finance (yfinance; posible retraso)
