ticker;nombre;precio;divisa;hora;fuente
AIR.PA;Airbus (Francia);202,45;EUR;2025-10-07 19:58:57 CEST;"Yahoo Finance (yfinance; posible retraso)"
ASML.AS;ASML (Países Bajos);874,8;EUR;2025-10-07 19:58:57 CEST;"Yahoo Finance (yfinance; posible retraso)"
BXP;BXP Inc (US);74,075;USD;2025-10-07 19:58:57 CEST;"Yahoo Finance (yfinance; posible retraso)"
CELH;Celsius (US);60,3999;USD;2025-10-07 19:58:57 CEST;"Yahoo Finance (yfinance; posible retraso)"
CSU.TO;Constellation Software (Canadá);3802,55;CAD;2025-10-07 19:58:57 CEST;"Yahoo Finance (yfinance; posible retraso)"
GOOG;Alphabet Class C (US);248,275;USD;2025-10-07 19:58:57 CEST;"Yahoo Finance (yfinance; posible retraso)"
GOOGL;Alphabet Class A (US);246,959;USD;2025-10-07 19:58:57 CEST;"Yahoo Finance (yfinance; posible retraso)"
GOOS;Canada Goose (US);13,97;USD;2025-10-07 19:58:57 CEST;"Yahoo Finance (yfinance; posible retraso)"
MC.PA;LVMH (Francia);560,0;EUR;2025-10-07 19:58:57 CEST;"Yahoo Finance (yfinance; posible retraso)"
META;Meta Platforms (US);707,8051;USD;2025-10-07 19:58:57 CEST;"Yahoo Finance (yfinance; posible retraso)"
MTCH;Match Group (US);33,21;USD;2025-10-07 19:58:57 CEST;"Yahoo Finance (yfinance; posible retraso)"
NKE;Nike (US);69,375;USD;2025-10-07 19:58:57 CEST;"Yahoo Finance (yfinance; posible retraso)"
PLMR;Palomar (US);114,065;USD;2025-10-07 19:58:57 CEST;"Yahoo Finance (yfinance; posible retraso)"
PYPL;Paypal (US);73,28;USD;2025-10-07 19:58:57 CEST;"Yahoo Finance (yfinance; posible retraso)"
SMCI;Super Micro Computer (US);54,3915;USD;2025-10-07 19:58:57 CEST;"Yahoo Finance (yfinance; posible retraso)"
STNE;StoneCo (US ADR);17,625;USD;2025-10-07 19:58:57 CEST;"Yahoo Finance (yfinance; posible retraso)"
UPWK;Upwork (US);16,93;USD;2025-10-07 19:58:57 CEST;"Yahoo Finance (yfinance; posible retraso)"
VFC;VF Corp (US);14,3;USD;2025-10-07 19:58:57 CEST;"Yahoo Finance (yfinance; posible retraso)"
ZEG.L;Zegona Communications (UK);1285,0;GBp;2025-10-07 19:58:57 CEST;"Yahoo Finance (yfinance; posible retraso)"
